Credit Note Number,Credit Note Reference,Credit From Bill,Billing Supplier,Supplier,Supplier Acc. No,Date,Description,Quantity,Unit Price,Net Amount,Tax Amount,Total Amount,Stock Number,Stock Name,Inventory Asset Account Code,Inventory Asset Account Name,Purchase Account Code,Purchase Account,Tags,Created At,Finalized
60,3940382182,,REPCO Chinchilla,REPCO Chinchilla,"",05/03/2024,PWR2228 - RAD TOY LC HZJ 79 99-07,1.0,1236.0,1236.0,123.6,1359.6,PWR2228,RAD TOY LC HZJ 79 99-07,,,,,"",2024-03-05 15:44:14 +1000,Y
61,3840381264,,REPCO Chinchilla,REPCO Chinchilla,"",09/03/2024,97929 - Oil seal,1.0,39.25,39.25,3.925,43.18,97929,Oil seal,,,,,"",2024-03-09 08:04:35 +1000,Y
62,3940381265,,REPCO Chinchilla,REPCO Chinchilla,"",09/03/2024,97929 - Oil seal,1.0,37.25,37.25,3.725,40.98,97929,Oil seal,,,,,"",2024-03-09 08:05:52 +1000,Y
63,742647,,TOOWOOMBA TRUCK SPARES,TOOWOOMBA TRUCK SPARES,"",12/04/2024,4031 - U Bolt 17.5x5x7/8,2.0,34.53,69.06,6.906,75.97,4031,U Bolt 17.5x5x7/8,,,310,COS - Stock Purchases,"",2024-04-12 09:19:49 +1000,Y
64,00009045,,Custom Built Tuff Trailers,Custom Built Tuff Trailers,"",18/04/2024,"190-SKSLH350-1.75-PTE - SKSLH350-1.75-Seal Kit SLH 3.5""x1.75""Rod",2.0,150.0,300.0,30.0,330.0,190-SKSLH350-1.75-PTE,"SKSLH350-1.75-Seal Kit SLH 3.5""x1.75""Rod",,,,,"",2024-04-18 09:24:16 +1000,Y
CR120000,2091592,,Western Truck Group,Western Truck Group,,08/06/2024,MXP SP7438 - Spring 9 Leaf Pack,1.0,373.77,373.77,37.377,411.15,MXP SP7438,Spring 9 Leaf Pack,,,310,COS - Stock Purchases,"",2024-06-10 07:58:01 +1000,Y
CR120001,2091677,,Western Truck Group,Western Truck Group,,11/06/2024,20975428 - Front Cab Mount,1.0,354.2,354.2,35.42,389.62,20975428,Front Cab Mount,,,310,COS - Stock Purchases,"",2024-06-11 08:58:39 +1000,Y
CR120001,2091677,,Western Truck Group,Western Truck Group,,11/06/2024,20874147 - Cab Shock RR NB,2.0,183.04,366.08,36.608,402.69,20874147,Cab Shock RR NB,,,310,COS - Stock Purchases,"",2024-06-11 08:58:39 +1000,Y
CR120001,2091677,,Western Truck Group,Western Truck Group,,11/06/2024,20874145 - Kit Mounting Shock,2.0,15.97,31.94,3.194,35.13,20874145,Kit Mounting Shock,,,310,COS - Stock Purchases,"",2024-06-11 08:58:39 +1000,Y
CR120002,2172593,2172424,Savcom,Savcom,"",25/06/2024,MSC32-25 - Metis Screen Clean Concentrate,275.0,1.7092,470.03,47.003,517.03,MSC32-25,Metis Screen Clean Concentrate,,,310,COS - Stock Purchases,"",2024-06-25 11:34:52 +1000,Y
CR120003,,3940391497,REPCO Chinchilla,REPCO Chinchilla,"",19/06/2024,TIN21041RHG - R/H Tray Tail Lamp Hilux KUN26R,1.0,331.0,331.0,33.1,364.1,TIN21041RHG,R/H Tray Tail Lamp Hilux KUN26R,,,310,COS - Stock Purchases,"",2024-06-26 09:51:46 +1000,Y
CR120004,,3940391497,REPCO Chinchilla,REPCO Chinchilla,"",26/06/2024,TIN21041LHG - Tail light,1.0,357.0,357.0,35.7,392.7,TIN21041LHG,Tail light,,,310,COS - Stock Purchases,"",2024-06-26 09:53:44 +1000,Y
CR120005,3940393202,3940367017,REPCO Chinchilla,REPCO Chinchilla,"",08/07/2024,IS2000 - 12/24V 2000A PROF. JUMPSTARTER,1.0,726.0,726.0,72.6,798.6,IS2000,12/24V 2000A PROF. JUMPSTARTER,,,310,COS - Stock Purchases,"",2024-07-08 13:34:39 +1000,Y
CR120006,,PI53028950,BLACK TOYOTA,BLACK TOYOTA,"",25/07/2024,852210K130 - Arm Front Wiper L/H,1.0,26.54,26.54,2.654,29.19,852210K130,Arm Front Wiper L/H,,,310,COS - Stock Purchases,"",2024-07-25 11:08:34 +1000,Y
CR120006,,PI53028950,BLACK TOYOTA,BLACK TOYOTA,"",25/07/2024,852110K131 - Arm Front Wiper R/H,1.0,115.04,115.04,11.504,126.54,852110K131,Arm Front Wiper R/H,,,310,COS - Stock Purchases,"",2024-07-25 11:08:34 +1000,Y
CR120006,,PI53028950,BLACK TOYOTA,BLACK TOYOTA,"",25/07/2024,464200K210 - Cable Assy Parking,1.0,119.25,119.25,11.925,131.18,464200K210,Cable Assy Parking,,,310,COS - Stock Purchases,"",2024-07-25 11:08:34 +1000,Y
CR120006,,PI53028950,BLACK TOYOTA,BLACK TOYOTA,"",25/07/2024,464300K210 - Cable Assy Parking,1.0,150.64,150.64,15.064,165.7,464300K210,Cable Assy Parking,,,310,COS - Stock Purchases,"",2024-07-25 11:08:34 +1000,Y
CR120006,,PI53028950,BLACK TOYOTA,BLACK TOYOTA,"",25/07/2024,464100K120 - Cable Assy Parking,1.0,83.54,83.54000000000001,8.354000000000001,91.89,464100K120,Cable Assy Parking,,,310,COS - Stock Purchases,"",2024-07-25 11:08:34 +1000,Y
CR120007,,3940393857,REPCO Chinchilla,REPCO Chinchilla,"",25/07/2024,GFS615 - Repco Automatic Transmission Filter Kit,1.0,46.0,46.0,4.6,50.6,GFS615,Repco Automatic Transmission Filter Kit,,,310,COS - Stock Purchases,"",2024-07-25 11:15:04 +1000,Y
CR120008,,760020,TOOWOOMBA TRUCK SPARES,TOOWOOMBA TRUCK SPARES,"",25/07/2024,72193NAR - 7in Headlight Housing & Harness,2.0,145.59,291.18,29.118,320.3,72193NAR,7in Headlight Housing & Harness,,,310,COS - Stock Purchases,"",2024-07-25 13:50:01 +1000,Y
CR120009,3940395492,3940394855,REPCO Chinchilla,REPCO Chinchilla,"",02/08/2024,98860 - Oil Seal (inner hub),2.0,36.0,72.0,7.2,79.2,98860,Oil Seal (inner hub),,,310,COS - Stock Purchases,"",2024-08-02 11:47:13 +1000,Y
CR120010,763182,760020,TOOWOOMBA TRUCK SPARES,TOOWOOMBA TRUCK SPARES,"",02/08/2024,"Hl175 - Headlight 7"" LED Pair Hi-Low & Park",1.0,496.4727,496.472727272727272727,49.6472727272727272727,546.12,Hl175,"Headlight 7"" LED Pair Hi-Low & Park",,,310,COS - Stock Purchases,"",2024-08-02 14:32:56 +1000,Y
CR120011,763786,763765,TOOWOOMBA TRUCK SPARES,TOOWOOMBA TRUCK SPARES,"",08/08/2024,A2264309000 - Bugscreen Permanent SQR 6900,1.0,332.49,332.49,33.249,365.74,A2264309000,Bugscreen Permanent SQR 6900,,,310,COS - Stock Purchases,"",2024-08-08 11:08:49 +1000,Y
CR120012,,3940395956,REPCO Chinchilla,REPCO Chinchilla,"",08/08/2024,PT1140 - Hub Grease Cap 50.2mm,4.0,5.95,23.8,2.38,26.18,PT1140,Hub Grease Cap 50.2mm,,,310,COS - Stock Purchases,"",2024-08-09 09:00:52 +1000,Y
CR120013,CN101004832,,NTAW,NTAW,TRWANDTAR,15/08/2024,RT2657516 - LT265/75R16 Terrafirma Rugged Terrian 123/120Q RWL,1.0,196.5,196.5,19.65,216.15,RT2657516,LT265/75R16 Terrafirma Rugged Terrian 123/120Q RWL,,,310,COS - Stock Purchases,"",2024-08-15 15:15:09 +1000,Y
CR120014,82935,,TOP TYRES AUSTRAILIA PTY LTD,TOP TYRES AUSTRAILIA PTY LTD,"",04/09/2024,E14651206Z84TRW - 14X6 5/120.65 WHITE SPOKED TOPWHEELS (0) (CB=84),1.0,54.0,54.0,5.4,59.4,E14651206Z84TRW,14X6 5/120.65 WHITE SPOKED TOPWHEELS (0) (CB=84),,,310,COS - Stock Purchases,"",2024-09-05 08:34:03 +1000,Y
CR120015,82933,,TOP TYRES AUSTRAILIA PTY LTD,TOP TYRES AUSTRAILIA PTY LTD,"",04/09/2024,K33125020601 - 33x12.50R20LT 119R TL KR-601 Klever R/T Kenda,5.0,298.0,1490.0,149.0,1639.0,K33125020601,33x12.50R20LT 119R TL KR-601 Klever R/T Kenda,,,310,COS - Stock Purchases,"",2024-09-05 08:36:02 +1000,Y
CR120015,82933,,TOP TYRES AUSTRAILIA PTY LTD,TOP TYRES AUSTRAILIA PTY LTD,"",04/09/2024,K2857017601 - KENDA KLEVER R/T KR-601 121R TL,1.0,278.0,278.0,27.8,305.8,K2857017601,KENDA KLEVER R/T KR-601 121R TL,,,310,COS - Stock Purchases,"",2024-09-05 08:36:02 +1000,Y
CR120015,82933,,TOP TYRES AUSTRAILIA PTY LTD,TOP TYRES AUSTRAILIA PTY LTD,"",04/09/2024,E1465114P1584TRW - 14x6 5/114.3 White Spoked Topwheels (15P) (CB=84),1.0,54.0,54.0,5.4,59.4,E1465114P1584TRW,14x6 5/114.3 White Spoked Topwheels (15P) (CB=84),,,310,COS - Stock Purchases,"",2024-09-05 08:36:02 +1000,Y
CR120015,82933,,TOP TYRES AUSTRAILIA PTY LTD,TOP TYRES AUSTRAILIA PTY LTD,"",04/09/2024,E1465108P1575TRW - 14x6 5/108 White Spoked Topwheels (15P0 (CB=75),2.0,54.0,108.0,10.8,118.8,E1465108P1575TRW,14x6 5/108 White Spoked Topwheels (15P0 (CB=75),,,310,COS - Stock Purchases,"",2024-09-05 08:36:02 +1000,Y
CR120016,CN-5851-2024,,YOKOHAMA TYRE AUST PTY LTD,YOKOHAMA TYRE AUST PTY LTD,"",05/09/2024,2957017G003 - LT295/70R17 121Q G003 MT - E4653,4.0,354.55,1418.2,141.82,1560.02,2957017G003,LT295/70R17 121Q G003 MT - E4653,,,310,COS - Stock Purchases,"",2024-09-06 08:53:54 +1000,Y
CR120017,CN-5850-2024,,YOKOHAMA TYRE AUST PTY LTD,YOKOHAMA TYRE AUST PTY LTD,"",05/09/2024,2355519G057 - 235/55R19 105W G057 X-CV - R4534,4.0,255.82,1023.28,102.328,1125.61,2355519G057,235/55R19 105W G057 X-CV - R4534,,,310,COS - Stock Purchases,"",2024-09-06 08:55:12 +1000,Y
