Credit Note Number,Credit Note Reference,Credit From Bill,Billing Supplier,Supplier,Supplier Acc. No,Date,Description,Quantity,Unit Price,Net Amount,Tax Amount,Total Amount,Stock Number,Stock Name,Inventory Asset Account Code,Inventory Asset Account Name,Purchase Account Code,Purchase Account,Tags,Created At,Finalized
12,,3940348058,REPCO Chinchilla,REPCO Chinchilla,"",20/02/2023,R2777P - FILTER-FUEL,2.0,39.75,79.5,7.95,87.45,R2777P,FILTER-FUEL,,,,,"",2023-03-09 17:53:27 +1000,Y
12,,3940348058,REPCO Chinchilla,REPCO Chinchilla,"",20/02/2023,R2720P - FILTER-OIL,2.0,14.25,28.5,2.85,31.35,R2720P,FILTER-OIL,,,,,"",2023-03-09 17:53:27 +1000,Y
12,,3940348058,REPCO Chinchilla,REPCO Chinchilla,"",20/02/2023,A1784 - AIR FILTER,2.0,41.25,82.5,8.25,90.75,A1784,AIR FILTER,,,,,"",2023-03-09 17:53:27 +1000,Y
12,,3940348058,REPCO Chinchilla,REPCO Chinchilla,"",20/02/2023,R2724P - FILTER-FUEL,2.0,28.13,56.26,5.626,61.89,R2724P,FILTER-FUEL,,,,,"",2023-03-09 17:53:27 +1000,Y
13,CST - Thornproof Tube - 20 x 1.9/2.125 - SV,K323881,KWT Imports,KWT Imports,"",14/03/2023,FREIGHT - Freight,1.0,255.0,255.0,25.5,280.5,FREIGHT,Freight,,,,,"",2023-03-14 15:02:11 +1000,Y
14,EC044156,,TYRES 4U,TYRES 4U,"",20/03/2023,5141TMA - 31 X 10.5R15 F06 A/T 109 S TRACMAX,4.0,130.5,522.0,52.2,574.2,5141TMA,31 X 10.5R15 F06 A/T 109 S TRACMAX,,,,,"",2023-03-20 18:11:36 +1000,Y
15,3940351429,3940349597,REPCO Chinchilla,REPCO Chinchilla,"",28/03/2023,MXA211 - ALT 12V 75A MITSUBISHI STYLE,1.0,253.0,253.0,25.3,278.3,MXA211,ALT 12V 75A MITSUBISHI STYLE,,,,,"",2023-03-28 11:19:33 +1000,Y
16,3940351440,3940349597,REPCO Chinchilla,REPCO Chinchilla,"",28/03/2023,PUX631 - PULLEY - RIBBED 70MM OD,1.0,38.25,38.25,3.825,42.08,PUX631,PULLEY - RIBBED 70MM OD,,,476,Workshop Expenses,"",2023-03-29 14:29:47 +1000,Y
17,3940351444,,REPCO Chinchilla,REPCO Chinchilla,"",28/03/2023,RSHK12PC-1 - SLIDE HAMMER KIT - 12 PC,1.0,78.59,78.59,7.859,86.45,RSHK12PC-1,SLIDE HAMMER KIT - 12 PC,,,476,Workshop Expenses,"",2023-03-29 14:30:49 +1000,Y
18,3940351443,3940350114,REPCO Chinchilla,REPCO Chinchilla,"",28/03/2023,SP66040 - 10PC BEARING RACE & SEAL SET,1.0,211.0,211.0,21.1,232.1,SP66040,10PC BEARING RACE & SEAL SET,,,,,"",2023-03-29 14:31:50 +1000,Y
19,3940351441,3940350362,REPCO Chinchilla,REPCO Chinchilla,"",28/03/2023,7301? - 7301?,1.0,447.21,447.21,44.721,491.93,7301?,7301?,,,,,"",2023-03-29 14:32:44 +1000,Y
