Credit Note Number,Credit From Invoice,Customer,Special Account Number,Date,Description,Details,Unit Price,Quantity,Net Amount,Tax Amount,Total Amount,Taxable,Stock Number,Stock Name,Inventory Asset Account Code,Inventory Asset Account Name,Sales Account Code,Sales Account Name,Raised By,Tags,Created At,Tracking Category Names,Tracking Category Values,Finalized
CRD28,51316,Ventia Eastern Well Services NO 2 pty ltd,,07/08/2023,GY578637 - 265/65R17 G'year Wrangler Duratrac FP 112S,,513.077,5.0,2565.385,256.5385,2821.9235,Y,GY578637,265/65R17 WRANGLER DURATRAC FP 112S GOODYEAR,,,,,Troy,"",2023-08-07 13:17:11 +1000,"","",Y
CRD28,51316,Ventia Eastern Well Services NO 2 pty ltd,,07/08/2023,SCRAP - Recycle charge,,9.4,5.0,47.0,4.7,51.7,Y,SCRAP,Recycle charge,,,,,Troy,"",2023-08-07 13:17:11 +1000,"","",Y
CRD28,51316,Ventia Eastern Well Services NO 2 pty ltd,,07/08/2023,LVF - Light vehicle strip fit and balance,,16.5,5.0,82.5,8.25,90.75,Y,LVF,Light Vehicle Fit/ Strip/ Balance,,,,,Troy,"",2023-08-07 13:17:11 +1000,"","",Y
CRD28,51316,Ventia Eastern Well Services NO 2 pty ltd,,07/08/2023,Rounding to 5c,,0.02,1.0,0.02,0,0.02,N,,,,,,,Troy,"",2023-08-07 13:17:11 +1000,"","",Y
CRD29,WAN53244,CON BROSNAN,,07/08/2023,VBA100 - A100 VEE BELT,,12.54,1.0,12.54,1.254,13.794,Y,VBA100,A100 VEE BELT,,,200,Sales,Madalyn Kerrison,"",2023-08-07 16:20:34 +1000,"","",Y
CRD30,WAN53270,D & W Transport,,15/08/2023,SCRAPTT - Recycle Truck Tyres,,30.0,8.0,240.0,24.0,264.0,Y,SCRAPTT,Recycle Truck Tyres,,,,,Madalyn Kerrison,"",2023-08-15 08:13:10 +1000,"","",Y
CRD31,WAN53333,G & B EHRLICH,,17/08/2023,MF105D31L - MF 105D31L  N70ZZL BATTERY 750 CCA,,209.0909,1.0,209.0909,20.9091,230.0,Y,MF105D31L,MF 105D31L  N70ZZL BATTERY 750 CCA,,,,,Madalyn Kerrison,"",2023-08-17 08:19:47 +1000,"","",Y
CRD32,WAN53312,Trevor Struber,,17/08/2023,T11225WDC53 - 11R22.5-16 WINDPOWER WDC53 DR,,465.0,8.0,3720.0,372.0,4092.0,Y,T11225WDC53,11R22.5-16 WINDPOWER WDC53 DR,,,,,Madalyn Kerrison,"",2023-08-17 08:58:41 +1000,"","",Y
CRD33,WAN53475,C.J & A.J Hansen,,08/09/2023,SCRAP - Recycle charge,,9.4,2.0,18.8,1.88,20.68,Y,SCRAP,Recycle charge,,,,,Madalyn Kerrison,"",2023-09-08 12:15:06 +1000,"","",Y
CRD34,WAN53507,W.W. & G.E. BLACKLEY,,14/09/2023,13A1055DAY - 13x1055 AUTO V- BELT,,16.1797,1.0,16.1797,1.618,17.7977,Y,13A1055DAY,13x1055 AUTO V- BELT,,,,,Madalyn Kerrison,"",2023-09-14 09:50:37 +1000,"","",Y
CRD34,WAN53507,W.W. & G.E. BLACKLEY,,14/09/2023,13A1015DAY - 13x1015 AUTO V-BELT,,16.6318,1.0,16.6318,1.6632,18.295,Y,13A1015DAY,13x1015 AUTO V-BELT,,,,,Madalyn Kerrison,"",2023-09-14 09:50:37 +1000,"","",Y
CRD35,WAN53293,M.T Davies,,14/09/2023,B1ABB123 - 445/65R22.5 Adv GLR30 169F,,850.0,3.0,2550.0,255.0,2805.0,Y,B1ABB123,445/65R22.5 Adv GLR30 169F,,,,,Madalyn Kerrison,"",2023-09-14 12:54:04 +1000,"","",Y
CRD35,WAN53293,M.T Davies,,14/09/2023,EMS - Earthmover Fit & Strip,,100.0,3.0,300.0,30.0,330.0,Y,EMS,Earthmover Fit & Strip,,,,,Madalyn Kerrison,"",2023-09-14 12:54:04 +1000,"","",Y
CRD36,WAN53475,C.J & A.J Hansen,,15/09/2023,HI8313000005 - HiTec Dot3 Brake Fluid 500ml,,10.878,1.0,10.878,1.0878,11.9658,Y,HI8313000005,HiTec Dot3 Brake Fluid 500ml,,,,,Madalyn Kerrison,"",2023-09-15 14:29:45 +1000,"","",Y
CRD36,WAN53475,C.J & A.J Hansen,,15/09/2023,RSK15 - FILTER KIT 4WD [V8 TURBO LCRUISER],,135.1,1.0,135.1,13.51,148.61,Y,RSK15,FILTER KIT 4WD [V8 TURBO LCRUISER],,,,,Madalyn Kerrison,"",2023-09-15 14:29:45 +1000,"","",Y
CRD36,WAN53475,C.J & A.J Hansen,,15/09/2023,501069 - 265/75R16 LT T/A A/T KO2 123/120R BF GOODRICH,,410.0,2.0,820.0,82.0,902.0,Y,501069,265/75R16 LT T/A A/T KO2 123/120R BF GOODRICH,,,,,Madalyn Kerrison,"",2023-09-15 14:29:45 +1000,"","",Y
CRD36,WAN53475,C.J & A.J Hansen,,15/09/2023,LVR - Light Vehicle Tyre Rotation,,15.0,2.0,30.0,3.0,33.0,Y,LVR,Light Vehicle Tyre Rotation,,,,,Madalyn Kerrison,"",2023-09-15 14:29:45 +1000,"","",Y
CRD36,WAN53475,C.J & A.J Hansen,,15/09/2023,SCRAP - Recycle charge,,9.4,2.0,18.8,1.88,20.68,Y,SCRAP,Recycle charge,,,,,Madalyn Kerrison,"",2023-09-15 14:29:45 +1000,"","",Y
CRD36,WAN53475,C.J & A.J Hansen,,15/09/2023,HI121330200 - 5w30 Synplus Hi-Tech Engine Oil,,17.0,9.5,161.5,16.15,177.65,Y,HI121330200,5w30 Synplus Hi-Tech Engine Oil,,,,,Madalyn Kerrison,"",2023-09-15 14:29:45 +1000,"","",Y
CRD36,WAN53475,C.J & A.J Hansen,,15/09/2023,MECHLAB - Mechanical Tradesman Labour,,110.0,2.0,220.0,22.0,242.0,Y,MECHLAB,Mechanical Tradesman Labour,,,205,Income - Automotive Repairs,Madalyn Kerrison,"",2023-09-15 14:29:45 +1000,"","",Y
CRD36,WAN53475,C.J & A.J Hansen,,15/09/2023,WC - Workshop Consumables,,20.0,2.0,40.0,4.0,44.0,Y,WC,Workshop Consumables,,,,,Madalyn Kerrison,"",2023-09-15 14:29:45 +1000,"","",Y
CRD37,WAN53640,Tyson Walz,,05/10/2023,1675180 - 265/75R16LT AT811 RAZR 10PR 123/120R MAXXIS,,419.4392,4.0,1677.7568,167.7757,1845.5325,Y,1675180,265/75R16LT AT811 RAZR 10PR 123/120R MAXXIS,,,,,Madalyn Kerrison,"",2023-10-05 14:26:42 +1000,"","",Y
CRD37,WAN53640,Tyson Walz,,05/10/2023,LVF - Light Vehicle Fit/ Strip/ Balance,,20.0,4.0,80.0,8.0,88.0,Y,LVF,Light Vehicle Fit/ Strip/ Balance,,,,,Madalyn Kerrison,"",2023-10-05 14:26:42 +1000,"","",Y
CRD37,WAN53640,Tyson Walz,,05/10/2023,SCRAP - Recycle charge,,9.4,4.0,37.6,3.76,41.36,Y,SCRAP,Recycle charge,,,,,Madalyn Kerrison,"",2023-10-05 14:26:42 +1000,"","",Y
CRD37,WAN53640,Tyson Walz,,05/10/2023,WA - Wheel Alignment,,90.0,1.0,90.0,9.0,99.0,Y,WA,Wheel Alignment,,,,,Madalyn Kerrison,"",2023-10-05 14:26:42 +1000,"","",Y
CRD38,WAN53747,MURUNGHA CATTLE CO PTY LTD,,16/10/2023,GY539678 - 285/60R18 GRANDTREK AT25 116V DUNLOP,,420.2612,2.0,840.5224,84.0522,924.5746,Y,539678,285/60R18 GRANDTREK AT25 116V DUNLOP,,,,,Madalyn Kerrison,"",2023-10-16 11:25:03 +1000,"","",Y
CRD38,WAN53747,MURUNGHA CATTLE CO PTY LTD,,16/10/2023,LVF - Light Vehicle Fit/ Strip/ Balance,,20.0,2.0,40.0,4.0,44.0,Y,LVF,Light Vehicle Fit/ Strip/ Balance,,,,,Madalyn Kerrison,"",2023-10-16 11:25:03 +1000,"","",Y
CRD38,WAN53747,MURUNGHA CATTLE CO PTY LTD,,16/10/2023,SCRAP - Recycle charge,,9.4,2.0,18.8,1.88,20.68,Y,SCRAP,Recycle charge,,,,,Madalyn Kerrison,"",2023-10-16 11:25:03 +1000,"","",Y
CRD40,WAN53749,ANC CATTLE CO PTY LTD,,06/11/2023,820321 - 235/85R16LT T/A A/T KO2 120S RWL BF/GOODRICH,,420.042,1.0,420.042,42.0042,462.0462,Y,820321,235/85R16LT T/A A/T KO2 120S RWL BF/GOODRICH,,,,,Madalyn Kerrison,"",2023-11-06 15:33:16 +1000,"","",Y
CRD41,WAN52727,CI & SJ WATSON,,07/11/2023,ST7B-4 - ST7B-4 BATTERY,,29.455,1.0,29.455,2.9455,32.4005,Y,ST7B-4,ST7B-4 BATTERY,,,,,Troy,"",2023-11-07 08:40:40 +1000,"","",Y
CRD42,WAN54043,ALLAN STORCH,,14/11/2023,MF31-1000 - MF31-1000 = 86B 1000 CCA BATTERY,,260.9091,2.0,521.8182,52.1818,574.0,Y,MF31-1000,MF31-1000 = 86B 1000 CCA BATTERY,,,,,Madalyn Kerrison,"",2023-11-14 12:48:55 +1000,"","",Y
CRD43,WAN51995,WANDOAN BULK HAULAGE,,20/11/2023,MF105D31R - MF 105D31R  N70ZZ BATTERY 750 CCA,,205.02,1.0,205.02,20.502,225.522,Y,MF105D31R,MF105D31R  N70ZZ BATTERY 750 CCA,,,,,Madalyn Kerrison,"",2023-11-20 10:10:51 +1000,"","",Y
CRD44,WAN54118,Pitkin Family Trust,,22/11/2023,VBA54 - A54 VEE BELT,,19.01,1.0,19.01,1.901,20.911,Y,VBA54,A54 VEE BELT,,,,,Madalyn Kerrison,"",2023-11-22 07:55:18 +1000,"","",Y
CR45,WAN54140,Qube Energy,,22/11/2023,TRAVEL - Travel per Kilometer,,2.1,45.5,95.55,9.555,105.105,Y,TRAVEL,Travel per Kilometer,,,,,Madalyn Kerrison,"",2023-11-22 12:55:23 +1000,"","",Y
CR45,WAN54140,Qube Energy,,22/11/2023,LAB - Tyre Fitter Labour,,100.0,3.0,300.0,30.0,330.0,Y,LAB,Tyre Fitter Labour,,,,,Madalyn Kerrison,"",2023-11-22 12:55:23 +1000,"","",Y
CR45,WAN54140,Qube Energy,,22/11/2023,100EV1751Q - 11R22.5 16 PLY GAM 839 148/145 K GITI,,509.04,2.0,1018.08,101.808,1119.888,Y,100EV1751Q,11R22.5 16 PLY GAM 839 148/145 K GITI,,,,,Madalyn Kerrison,"",2023-11-22 12:55:23 +1000,"","",Y
CR45,WAN54140,Qube Energy,,22/11/2023,HT-5924 - 385/65R22.5 TKLT V 20PR,,750.0,2.0,1500.0,150.0,1650.0,Y,HT-5924,385/65R22.5 TKLT V 20PR,,,,,Madalyn Kerrison,"",2023-11-22 12:55:23 +1000,"","",Y
CR45,WAN54140,Qube Energy,,22/11/2023,5660300 - EQUAL FLEXX A 340g Bag,,35.0,4.0,140.0,14.0,154.0,Y,5660300,EQUAL FLEXX A 340g Bag,,,,,Madalyn Kerrison,"",2023-11-22 12:55:23 +1000,"","",Y
CR45,WAN54140,Qube Energy,,22/11/2023,TTR - Truck Tyre Repair,,66.95,1.0,66.95,6.695,73.645,Y,TTR,Truck Tyre Repair,,,,,Madalyn Kerrison,"",2023-11-22 12:55:23 +1000,"","",Y
CR45,WAN54140,Qube Energy,,22/11/2023,TFIT - Truck Tyre Fit & Strip,,33.0,4.0,132.0,13.2,145.2,Y,TFIT,Truck Tyre Fit & Strip,,,,,Madalyn Kerrison,"",2023-11-22 12:55:23 +1000,"","",Y
CR45,WAN54140,Qube Energy,,22/11/2023,SCRAPTT - Recycle Truck Tyres,,30.0,4.0,120.0,12.0,132.0,Y,SCRAPTT,Recycle Truck Tyres,,,,,Madalyn Kerrison,"",2023-11-22 12:55:23 +1000,"","",Y
CR46,WAN54132,Pitkin Family Trust,,24/11/2023,VBB54 - B54 VEE BELT,,38.641,1.0,38.641,3.8641,42.5051,Y,VBB54,B54 VEE BELT,,,,,Madalyn Kerrison,"",2023-11-24 07:28:57 +1000,"","",Y
CR47,WAN54092,JL GATES WATER & GRAVEL,,24/11/2023,TRAVEL - Travel per Kilometer,,2.1,145.0,304.5,30.45,334.95,Y,TRAVEL,Travel per Kilometer,,,,,Madalyn Kerrison,"",2023-11-24 11:01:26 +1000,"","",Y
CR48,WAN54094,Beyond Contracting,,29/11/2023,EVT11225511 - EVERGREEN 11R22.5 148/145J EDM511   -     Being delivered direct to moranbah     -,,374.0,8.0,2992.0,299.2,3291.2,Y,EVT11225511,11R22.5 148/145J EDM511 EVERGREEN,,,,,Troy,"",2023-11-29 08:32:53 +1000,"","",Y
CR48,WAN54094,Beyond Contracting,,29/11/2023,1130404 - 265/65R17 LT 120S OPAT3 TOYO,,275.0,4.0,1100.0,110.0,1210.0,Y,1130404,265/65R17 LT 120S OPAT3 TOYO,,,,,Troy,"",2023-11-29 08:32:53 +1000,"","",Y
CRD49,WAN54320,Hatton Cattle Co pty ltd,,14/12/2023,EVT11225511 - 11R22.5 148/145J EDM511 EVERGREEN,,452.1,2.0,904.2,90.42,994.62,Y,EVT11225511,11R22.5 148/145J EDM511 EVERGREEN,,,,,Madalyn Kerrison,"",2023-12-14 11:15:40 +1000,"","",Y
CRD49,WAN54320,Hatton Cattle Co pty ltd,,14/12/2023,TFIT - Truck Tyre Fit & Strip,,33.0,2.0,66.0,6.6,72.6,Y,TFIT,Truck Tyre Fit & Strip,,,,,Madalyn Kerrison,"",2023-12-14 11:15:40 +1000,"","",Y
CRD54,WAN54359,JUANDAH AGGREGATION TRUST,,20/12/2023,MF85R-550 - MF 85R-550 BATTERY   550 CA,,145.0,1.0,145.0,14.5,159.5,Y,MF85R-550,MF 85R-550 BATTERY   550 CA,,,,,Madalyn Kerrison,"",2023-12-20 14:05:42 +1000,"","",Y
CRD56,,Fleet Partners,ATY0123,31/12/2023,code/description,,0.01,1.0,0.01,0.001,0.011,Y,,,,,,,Christine,"",2024-01-08 22:01:37 +1000,"","",N
CRD59,WAN54510,HATCHEM DOWNS CATTLE CO PTY LTD,,11/01/2024,1122516CYX - 11R22.5 146/143M 16P CYXRL1 B5209 YOKOHAMA,,450.0,1.0,450.0,45.0,495.0,Y,1122516CYX,11R22.5 146/143M 16P CYXRL1 B5209 YOKOHAMA,,,,,David Smith,"",2024-01-11 15:55:39 +1000,"","",Y
CRD59,WAN54510,HATCHEM DOWNS CATTLE CO PTY LTD,,11/01/2024,TFIT - Truck Tyre Fit & Strip,,33.0,1.0,33.0,3.3,36.3,Y,TFIT,Truck Tyre Fit & Strip,,,,,David Smith,"",2024-01-11 15:55:39 +1000,"","",Y
CRD63,,Brigodoon Cattle Co pty ltd,,10/10/2023,code/description,,436.3636,1.0,436.3636,43.6364,480.0,Y,,,,,,,Christine,"",2024-01-30 10:54:43 +1000,"","",N
CRD64,WAN54714,Beacon Hill Pastoral,,01/02/2024,LVF - Light Vehicle Fit/ Strip/ Balance,,20.0,1.0,20.0,2.0,22.0,Y,LVF,Light Vehicle Fit/ Strip/ Balance,,,,,David Smith,"",2024-02-01 10:33:09 +1000,"","",Y
CRD64,WAN54714,Beacon Hill Pastoral,,01/02/2024,83074 - 20/8.00-10 6PR P332 TURF BUSHMATE,,100.8,1.0,100.8,10.08,110.88,Y,83074,20/8.00-10 6PR P332 TURF BUSHMATE,,,,,David Smith,"",2024-02-01 10:33:09 +1000,"","",Y
CRD64,WAN54714,Beacon Hill Pastoral,,01/02/2024,ATVF - Fit ATV/Motorcycle Tyre,,13.1818,1.0,13.1818,1.3182,14.5,Y,ATVF,Fit ATV/Motorcycle Tyre,,,,,David Smith,"",2024-02-01 10:33:09 +1000,"","",Y
CRD64,WAN54714,Beacon Hill Pastoral,,01/02/2024,Rounding to 5c,,0.02,1.0,0.02,0,0.02,N,,,,,,,David Smith,"",2024-02-01 10:33:09 +1000,"","",Y
CRD67,WAN54809,GVI Contracting,,08/02/2024,SECOND HAND TYRE - Second hand tyre,,85.0,1.0,85.0,8.5,93.5,Y,SECOND HAND TYRE,Second hand tyre,,,,,Kieran Smith,"",2024-02-08 16:03:42 +1000,"","",Y
CRD68,WAN54805,GVI Contracting,,08/02/2024,SECOND HAND TYRE - Second hand tyre,,85.0,1.0,85.0,8.5,93.5,Y,SECOND HAND TYRE,Second hand tyre,,,,,Kieran Smith,"",2024-02-08 16:37:55 +1000,"","",Y
CRD69,,Caenby Cattle Co,,08/02/2024,code/description,,243.8818,1.0,243.8818,24.3882,268.27,Y,,,,,,,Christine,"",2024-02-09 10:58:21 +1000,"","",N
CRD70,WAN54645,Parkside Group,,14/02/2024,NI-80720-JG000 - Regulator-Door,,314.141,1.0,314.141,31.4141,345.5551,Y,NI-80720-JG000,Regulator-Door,,,,,David Smith,"",2024-02-14 11:57:50 +1000,"","",Y
CRD70,WAN54645,Parkside Group,,14/02/2024,3340033 - Strut Excel G Gas,,313.73,1.0,313.73,31.373,345.103,Y,3340033,Strut Excel G Gas,,,,,David Smith,"",2024-02-14 11:57:50 +1000,"","",Y
CRD70,WAN54645,Parkside Group,,14/02/2024,3340034 - Shock Excell G Gas,,313.73,1.0,313.73,31.373,345.103,Y,3340034,Shock Excell G Gas,,,,,David Smith,"",2024-02-14 11:57:50 +1000,"","",Y
CRD70,WAN54645,Parkside Group,,14/02/2024,MECHLAB - Mechanical Tradesman Labour,,110.0,5.5,605.0,60.5,665.5,Y,MECHLAB,Mechanical Tradesman Labour,,,205,Income - Automotive Repairs,David Smith,"",2024-02-14 11:57:50 +1000,"","",Y
CRD70,WAN54645,Parkside Group,,14/02/2024,WA - Wheel Alignment,,90.0,1.0,90.0,9.0,99.0,Y,WA,Wheel Alignment,,,,,David Smith,"",2024-02-14 11:57:50 +1000,"","",Y
CRD70,WAN54645,Parkside Group,,14/02/2024,Rounding to 5c,,-0.01,1.0,-0.01,0,-0.01,N,,,,,,,David Smith,"",2024-02-14 11:57:50 +1000,"","",Y
CRD71,WAN54633,ANNABRANCH HOLDINGS,,19/02/2024,2857516G016 - 285/75R16 LT 126Q G016 X-AT,,365.0776,1.0,365.0776,36.5078,401.5854,Y,2857516G016,285/75R16 LT 126Q G016 X-AT,,,,,Kieran Smith,"",2024-02-19 10:25:20 +1000,"","",Y
CRD71,WAN54633,ANNABRANCH HOLDINGS,,19/02/2024,LVF - Light Vehicle Fit/ Strip/ Balance,,20.0,1.0,20.0,2.0,22.0,Y,LVF,Light Vehicle Fit/ Strip/ Balance,,,,,Kieran Smith,"",2024-02-19 10:25:20 +1000,"","",Y
CRD72,WAN54950,Rathlyn Pastoral Company,,27/02/2024,VBA57 - A57 VEE BELT,,25.4545,2.0,50.909,5.0909,55.9999,Y,VBA57,A57 VEE BELT,,,,,Kieran Smith,"",2024-02-27 08:36:21 +1000,"","",Y
CRD74,,"N.W, R, C.T, & D.M James",,22/12/2023,code/description,,113.6364,1.0,113.6364,11.3636,125.0,Y,,,,,,,Christine,"",2024-03-14 20:21:13 +1000,"","",N
CRD75,WAN55206,CW EM LM HARTWIG,,22/03/2024,SCRAP - Recycle charge,,9.4,1.0,9.4,0.94,10.34,Y,SCRAP,Recycle charge,,,,,Kieran Smith,"",2024-03-22 11:30:32 +1000,"","",Y
CRD76,WAN54982,CASTLE PASTORAL,,26/03/2024,LVF - Light Vehicle Fit/ Strip/ Balance,,20.0,3.0,60.0,6.0,66.0,Y,LVF,Light Vehicle Fit/ Strip/ Balance,,,,,Troy,"",2024-03-26 20:39:10 +1000,"","",Y
CRD77,WAN54720,CASTLE PASTORAL,,26/03/2024,LVF - Light Vehicle Fit/ Strip/ Balance,,20.0,2.0,40.0,4.0,44.0,Y,LVF,Light Vehicle Fit/ Strip/ Balance,,,,,Troy,"",2024-03-26 20:41:08 +1000,"","",Y
CRD78,WAN54720,CASTLE PASTORAL,,26/03/2024,501069 - 265/75R16 LT T/A A/T KO2 123/120R BF GOODRICH,,453.8947,2.0,907.7894,90.7789,998.5683,Y,501069,265/75R16 LT T/A A/T KO2 123/120R BF GOODRICH,,,,,Troy,"",2024-03-26 20:45:34 +1000,"","",Y
CRD79,,Fleet Plus,,19/01/2024,code/description,,0.0091,1.0,0.0091,0.0009,0.01,Y,,,,,,,Christine,"",2024-03-28 12:54:42 +1000,"","",N
CRD80,,Osborne Contracting,,27/03/2024,code/description,,0.0091,1.0,0.0091,0.0009,0.01,Y,,,,,,,Christine,"",2024-04-10 13:14:55 +1000,"","",N
CRD81,,Toyota Fleet,,01/02/2024,code/description,,0.0364,1.0,0.0364,0.0036,0.04,Y,,,,,,,Christine,"",2024-04-10 13:56:38 +1000,"","",N
CRD82,,Decmil Australia Pty Ltd,,29/01/2024,code/description,,0.01,1.0,0.01,0.001,0.011,Y,,,,,,,Christine,"",2024-04-10 13:57:33 +1000,"","",N
CRD83,WAN55395,PHE,,15/04/2024,MF85R-550 - MF 85R-550 BATTERY   550 CA,,149.0909,1.0,149.0909,14.9091,164.0,Y,MF85R-550,MF 85R-550 BATTERY   550 CA,,,,,David Smith,"",2024-04-15 08:36:21 +1000,"","",Y
CRD84,WAN55447,L & K  CONTRACTING,,18/04/2024,247464 - 285/75R16 LT 126/123Q BAJA BOSS A/T MICKEY THOMPSON,,450.0,2.0,900.0,90.0,990.0,Y,247464,285/75R16 LT 126/123Q BAJA BOSS A/T MICKEY THOMPSON,,,,,David Smith,"",2024-04-18 08:18:11 +1000,"","",Y
CRD84,WAN55447,L & K  CONTRACTING,,18/04/2024,LVF - Light Vehicle Fit/ Strip/ Balance,,20.0,2.0,40.0,4.0,44.0,Y,LVF,Light Vehicle Fit/ Strip/ Balance,,,,,David Smith,"",2024-04-18 08:18:11 +1000,"","",Y
CRD85,,PJB Earthworks,,08/03/2024,code/description,,45.4545,1.0,45.4545,4.5455,50.0,Y,,,,,,,Christine,"",2024-04-19 11:49:27 +1000,"","",Y
CRD86,WAN54986,P.G. & J.M. THORNTON,,22/04/2024,AUTOELEC - Auto-Electrical Tradesman Labour,,130.0,1.0,130.0,13.0,143.0,Y,AUTOELEC,Auto-Electrical Tradesman Labour,,,,,Troy,"",2024-04-22 08:19:11 +1000,"","",Y
CRD87,WAN55496,JUANDAH AGGREGATION TRUST,,23/04/2024,103590 - STRING PLUG REFILL PACK,,2.0,20.0,40.0,4.0,44.0,Y,103590,STRING PLUG REFILL PACK,,,,,David Smith,"",2024-04-23 15:09:04 +1000,"","",Y
CRD87,WAN55496,JUANDAH AGGREGATION TRUST,,23/04/2024,5126037 - PN 03 SLEEVE,,9.9,5.0,49.5,4.95,54.45,Y,5126037,PN 03 SLEEVE,,,,,David Smith,"",2024-04-23 15:09:04 +1000,"","",Y
CRD87,WAN55496,JUANDAH AGGREGATION TRUST,,23/04/2024,225G GLUE - 225 G GLUE,,16.45,1.0,16.45,1.645,18.095,Y,225G GLUE,225 G GLUE,,,,,David Smith,"",2024-04-23 15:09:04 +1000,"","",Y
CRD88,WAN55346,Neil Pomerenke,,29/04/2024,VBB52 - B52 VEE BELT,,37.638,1.0,37.638,3.7638,41.4018,Y,VBB52,B52 VEE BELT,,,,,David Smith,"",2024-04-29 08:52:50 +1000,"","",Y
CRD89,WAN55531,SHADFORTHS CIVIL PTY LTD,,30/04/2024,ATVF - Fit ATV/Motorcycle Tyre,,13.1818,1.0,13.1818,1.3182,14.5,Y,ATVF,Fit ATV/Motorcycle Tyre,,,,,David Smith,"",2024-04-30 13:37:36 +1000,"","",Y
CRD90,WAN55508,SHADFORTHS CIVIL PTY LTD,,30/04/2024,TRAVEL - Travel per Kilometer,,2.1,10.0,21.0,2.1,23.1,Y,TRAVEL,Travel per Kilometer,,,,,David Smith,"",2024-04-30 13:38:28 +1000,"","",Y
CRD90,WAN55508,SHADFORTHS CIVIL PTY LTD,,30/04/2024,LAB - Tyre Fitter Labour,,100.0,1.5,150.0,15.0,165.0,Y,LAB,Tyre Fitter Labour,,,,,David Smith,"",2024-04-30 13:38:28 +1000,"","",Y
CRD90,WAN55508,SHADFORTHS CIVIL PTY LTD,,30/04/2024,T18434HD - 18.4R34 TR218A HEAVY DUTY TOPTUBES,,178.1,1.0,178.1,17.81,195.91,Y,T18434HD,18.4R34 TR218A HEAVY DUTY TOPTUBES,,,,,David Smith,"",2024-04-30 13:38:28 +1000,"","",Y
CRD90,WAN55508,SHADFORTHS CIVIL PTY LTD,,30/04/2024,Rounding to 5c,,-0.01,1.0,-0.01,0,-0.01,N,,,,,,,David Smith,"",2024-04-30 13:38:28 +1000,"","",Y
CRD91,WAN55535,Stuart Golden Family Trust,,01/05/2024,VBB142 - B142 VEE BELT,,24.79,1.0,24.79,2.479,27.269,Y,VBB142,B142 VEE BELT,,,,,David Smith,"",2024-05-01 11:25:39 +1000,"","",Y
CRD92,WAN55424,J & L OAKMAN,,02/05/2024,SITF - Small Implement Tyre Fitting,,30.0,1.0,30.0,3.0,33.0,Y,SITF,Small Implement Tyre Fitting,,,,,David Smith,"",2024-05-02 08:13:18 +1000,"","",Y
CRD93,WAN55478,LINDSAYS EARTHMOVING & CO. PTY. LTD.,,03/05/2024,T11225B108N - 11R22.5-(18) B108 XZY ALLPOS BLACK BELT,,225.0,6.0,1350.0,135.0,1485.0,Y,T11225B108N,11R22.5-(18) B108 XZY ALLPOS BLACK BELT,,,,,Kieran Smith,"",2024-05-03 15:29:23 +1000,"","",Y
CRD1200,WAN55619,LINDSAYS EARTHMOVING & CO. PTY. LTD.,,16/05/2024,HA11R225202M - Haulmax 11R22.5 16PR TL ATT202 A/P,,438.4,2.0,876.8,87.68,964.48,Y,HA11R225202M,Haulmax 11R22.5 16PR TL ATT202 A/P,,,,,Troy,"",2024-05-16 09:43:19 +1000,"","",Y
CRD1200,WAN55619,LINDSAYS EARTHMOVING & CO. PTY. LTD.,,16/05/2024,Rounding to 5c,,0.02,1.0,0.02,0,0.02,N,,,,,,,Troy,"",2024-05-16 09:43:19 +1000,"","",Y
CRD1201,WAN53696,Drill It,,01/04/2024,code/description,,0.0909,1.0,0.0909,0.0091,0.1,Y,,,,,,,Christine,"",2024-05-16 12:18:39 +1000,"","",N
CRD1202,,KEVIN WELCH,,01/04/2024,code/description,,0.4364,1.0,0.4364,0.0436,0.48,Y,,,,,,,Christine,"",2024-05-22 11:31:13 +1000,"","",N
CRD1203,WAN53750,Trevor Struber,,22/05/2024,2021629 - 31x10.50R15 RF12 109S A/T HANKOOK,,304.414,2.0,608.828,60.8828,669.7108,Y,2021629,31x10.50R15 RF12 109S A/T HANKOOK,,,,,David Smith,"",2024-05-22 16:50:36 +1000,"","",Y
CRD1203,WAN53750,Trevor Struber,,22/05/2024,LVF - Light Vehicle Fit/ Strip/ Balance,,20.0,2.0,40.0,4.0,44.0,Y,LVF,Light Vehicle Fit/ Strip/ Balance,,,,,David Smith,"",2024-05-22 16:50:36 +1000,"","",Y
CRD1204,WAN55821,SHADFORTHS CIVIL PTY LTD,,27/05/2024,B1665086306 - 16x6.50-8 (6) TL LG-306 BKT,,74.5455,1.0,74.5455,7.4546,82.0001,Y,B1665086306,16x6.50-8 (6) TL LG-306 BKT,,,,,David Smith,"",2024-05-27 15:17:17 +1000,"","",Y
CRD1204,WAN55821,SHADFORTHS CIVIL PTY LTD,,27/05/2024,4091TU - 16x6.50-8 TR13 Tube,,16.8182,1.0,16.8182,1.6818,18.5,Y,4091TU,16x6.50-8 TR13 Tube,,,,,David Smith,"",2024-05-27 15:17:17 +1000,"","",Y
CRD1204,WAN55821,SHADFORTHS CIVIL PTY LTD,,27/05/2024,ATVF - Fit ATV/Motorcycle Tyre,,13.1818,1.0,13.1818,1.3182,14.5,Y,ATVF,Fit ATV/Motorcycle Tyre,,,,,David Smith,"",2024-05-27 15:17:17 +1000,"","",Y
