Credit Note Number,Credit From Invoice,Customer,Special Account Number,Date,Description,Details,Unit Price,Quantity,Net Amount,Tax Amount,Total Amount,Taxable,Stock Number,Stock Name,Inventory Asset Account Code,Inventory Asset Account Name,Sales Account Code,Sales Account Name,Raised By,Tags,Created At,Tracking Category Names,Tracking Category Values,Finalized
CRD1225,WAN56066,M & M Betts pty ltd,,27/06/2024,TFIT - Truck Tyre Fit & Strip,,33.0,1.0,33.0,3.3,36.3,Y,TFIT,Truck Tyre Fit & Strip,,,,,Kieran Smith,"",2024-06-27 08:13:29 +1000,"","",Y
CRD1225,WAN56066,M & M Betts pty ltd,,27/06/2024,SCRAPTT - Recycle Truck Tyres,,32.0,1.0,32.0,3.2,35.2,Y,SCRAPTT,Recycle Truck Tyres,,,,,Kieran Smith,"",2024-06-27 08:13:29 +1000,"","",Y
CRD1225,WAN56066,M & M Betts pty ltd,,27/06/2024,38565225106ZS - 385/65R22.5 158L (160J) 106ZS - B5167,,1045.31,1.0,1045.31,104.531,1149.841,Y,38565225106ZS,385/65R22.5 158L (160J) 106ZS - B5167,,,,,Kieran Smith,"",2024-06-27 08:13:29 +1000,"","",Y
CRD1225,WAN56066,M & M Betts pty ltd,,27/06/2024,Rounding to 5c,,0.01,1.0,0.01,0,0.01,N,,,,,,,Kieran Smith,"",2024-06-27 08:13:29 +1000,"","",Y
CRD1226,,Fleet Plus,,30/06/2024,code/description,,0.0182,1.0,0.0182,0.0018,0.02,Y,,,,,,,Christine,"",2024-07-05 13:42:19 +1000,"","",N
CRD1227,WAN55786,Stanbroke pty ltd,,10/07/2024,labour - Tractor tyre repair,,100.0,1.0,100.0,10.0,110.0,Y,labour,Tractor tyre repair,,,,,Kieran Smith,"",2024-07-10 15:01:20 +1000,"","",Y
CRD1228,WAN55575,ELDERS,,11/07/2024,11000919 - 265/65R17LT 116S D697 OWT B/STONE,,383.0,2.0,766.0,76.6,842.6,Y,11000919,265/65R17LT 116S D697 OWT B/STONE,,,,,David Smith,"",2024-07-11 09:43:55 +1000,"","",Y
CRD1228,WAN55575,ELDERS,,11/07/2024,LVF - Light Vehicle Fit/ Strip/ Balance,,20.0,2.0,40.0,4.0,44.0,Y,LVF,Light Vehicle Fit/ Strip/ Balance,,,,,David Smith,"",2024-07-11 09:43:55 +1000,"","",Y
CRD1228,WAN55575,ELDERS,,11/07/2024,LVR - Light Vehicle Tyre Rotation,,15.0,2.0,30.0,3.0,33.0,Y,LVR,Light Vehicle Tyre Rotation,,,,,David Smith,"",2024-07-11 09:43:55 +1000,"","",Y
CRD1228,WAN55575,ELDERS,,11/07/2024,WA - Wheel Alignment,,90.0,1.0,90.0,9.0,99.0,Y,WA,Wheel Alignment,,,,,David Smith,"",2024-07-11 09:43:55 +1000,"","",Y
